Unnamed: 0,Datetime,pol
,2021-05-23 00:00:00,34.52955475245657
,2021-05-24 00:00:00,36.80910129569506
,2021-05-25 00:00:00,25.953790734728244
,2021-05-26 00:00:00,44.03883222101973
,2021-05-27 00:00:00,18.9402913059163
,2021-05-28 00:00:00,44.06383228172288
,2021-05-29 00:00:00,29.44552332852333
,2021-05-30 00:00:00,31.655904882154903
,2021-05-31 00:00:00,43.51496867484367
,2021-06-01 00:00:00,40.6950851521164
,2021-06-02 00:00:00,38.591017015392005
,2021-06-03 00:00:00,47.24279822029817
,2021-06-04 00:00:00,45.03714550264543
,2021-06-05 00:00:00,45.56506878306876
,2021-06-06 00:00:00,33.97681367243868
,2021-06-07 00:00:00,40.47693482443479
,2021-06-08 00:00:00,24.716591510341523
,2021-06-09 00:00:00,34.95791810966808
