,time_x,low,high,open,close,volume,pol
235,24-08-2021,47600,49875.9,49504.53,47682.45,12068.33823,8.87050956
236,25-08-2021,47122.02,49277,47682.45,48987.33,9289.231771,14.64358324
237,26-08-2021,46315.48,49365.1,48991.57,46851.47,11651.34374,4.794246032
238,27-08-2021,46361.01,49185.12,46851.47,49077.57,8924.122477,16.64102709
239,28-08-2021,48370,49309.83,49081.08,48942.94,4895.701913,13.84655604
240,29-08-2021,47801,49667.1,48942.89,48802.58,6935.09511,14.34614238
241,30-08-2021,46866,48906.51,48802.58,46993.71,12249.23741,6.372248527
242,31-08-2021,46708.93,48259.68,46996.8,47112.5,12919.4397,6.372248527
243,01-09-2021,46537.62,49125,47110.33,48839.86,13010.83839,1.349338592
244,02-09-2021,48620.73,50392.19,48834.27,49279.37,14120.38264,14.79978145
245,03-09-2021,48349.66,51064.44,49279.38,50025,14577.22622,18.25557254
246,04-09-2021,49400,50558.75,50025,49942.98,7595.488165,16.82633921
247,05-09-2021,49500,51907.08,49944.89,51789.17,7743.934723,9.573878668
248,06-09-2021,51020.08,52802.03,51789.17,52698.81,9571.754711,16.96966659
249,07-09-2021,42830.77,52944.96,52698.8,46894.5,29022.81535,24.65518488
250,08-09-2021,44423.49,47381.47,46894.49,46060.36,19624.55093,17.84933246
251,09-09-2021,45511.82,47400,46059.94,46400,13594.64633,11.07330903
252,10-09-2021,44140.48,47040.76,46396.26,44851.45,14905.54795,17.32643233
253,11-09-2021,44730.29,45989.94,44850.37,45171.83,6207.38337,-0.374505471
254,12-09-2021,44754.31,46462.98,45173.66,46024.23,6499.858217,4.642941799
255,13-09-2021,43465,46900,46027.8,44947.72,15015.3029,15.53237073
256,14-09-2021,44679.92,47274.92,44953.23,47127.22,12644.16435,10.07412792
257,15-09-2021,46705,48475,47127.81,48148.12,12139.84207,24.77586821
258,16-09-2021,47020.82,48499.99,48144.03,47753.16,11739.27967,12.38948623
259,17-09-2021,46752.67,48176.64,47753.15,47303.5,9088.569565,9.429254209
260,18-09-2021,47050,48825.62,47306.87,48314.56,7491.034492,9.94953358
261,19-09-2021,46850.87,48379.19,48309.86,47255.92,7086.346262,14.67393068
262,20-09-2021,42500,47358.92,47253.71,43012.97,27706.67636,13.14232191
263,21-09-2021,39600,43639.88,43007.69,40719.6,27275.33818,-3.818772923
